kalshi_ticker,kalshi_strike_price,product_id,coinbase_dir,coinbase_old_price,coinbase_new_price,coinbase_delta_usd,coinbase_anchor_exchange_ts_ms,coinbase_anchor_local_ts_ms,coinbase_anchor_sequence_num,coinbase_exchange_ts_ms,coinbase_local_ts_ms,coinbase_sequence_num,coinbase_window_ms,trigger_yes_bid,trigger_yes_ask,trigger_no_bid,trigger_no_ask,opportunity_side,trigger_entry_price_cents,trigger_entry_spread_cents,first_response_type,first_response_ts_ms,first_response_lag_ms,first_yes_bid_after,first_no_bid_after,first_yes_ask_after,first_no_ask_after,best_yes_bid_post,best_yes_ask_post,best_no_bid_post,best_no_ask_post,best_favorable_entry_edge_cents,best_favorable_exit_edge_cents,min_pair_cost_cents,min_pair_cost_ts_ms
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,up,69970.41,69992.43,22.02,1773195677990,1773195681570,86,1773195678770,1773195682351,93,1000,34,35,65,66,buy_yes,35,1,no_bid_down,1773195682356,5,34,64,36,66,37,38,65,66,3,2,98,1773195686615
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69992.73,69981.00,-11.73,1773195683771,1773195687354,110,1773195684272,1773195687852,115,1000,38,39,61,62,buy_no,62,1,yes_bid_down,1773195688459,607,37,61,39,63,38,39,63,65,3,1,99,1773195690717
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,up,69998.02,70010.11,12.09,1773195693489,1773195697070,159,1773195694033,1773195697616,162,1000,39,41,59,61,buy_yes,41,2,no_bid_down,1773195698244,628,39,58,42,61,40,42,59,61,1,0,101,1773195701709
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69983.98,69973.20,-10.78,1773195720237,1773195723818,266,1773195721036,1773195724617,271,1000,28,29,71,72,buy_no,72,1,yes_bid_down,1773195724722,105,27,71,29,73,28,29,78,79,7,6,94,1773195728409
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69973.20,69959.00,-14.20,1773195737269,1773195740851,351,1773195738017,1773195741605,355,1000,28,29,71,72,buy_no,72,1,,,,,,,,32,33,71,72,0,0,101,1773195741610
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69982.78,69969.00,-13.78,1773195751536,1773195755120,420,1773195752519,1773195756102,425,1000,28,30,70,72,buy_no,72,2,no_bid_up,1773195756353,251,28,71,29,72,29,30,71,73,1,0,101,1773195756353
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69981.58,69970.83,-10.75,1773195767987,1773195771571,492,1773195768760,1773195772345,496,1000,23,24,76,77,buy_no,77,1,yes_bid_down,1773195772627,282,22,76,24,78,23,24,78,79,2,1,99,1773195776856
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69960.91,69948.10,-12.81,1773195781994,1773195785579,547,1773195782831,1773195786415,553,1000,15,16,84,85,buy_no,85,1,,,,,,,,16,17,84,85,0,0,101,1773195786418
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,up,69944.02,69974.27,30.25,1773195804236,1773195807822,663,1773195804774,1773195808360,666,1000,23,24,76,77,buy_yes,24,1,no_bid_down,1773195809155,795,23,75,25,77,26,27,85,86,3,2,98,1773195809796
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69978.07,69962.05,-16.02,1773195809988,1773195813573,693,1773195810980,1773195814572,697,1000,19,21,79,81,buy_no,81,2,yes_bid_down,1773195814831,259,18,79,21,82,20,21,80,82,1,0,101,1773195814831
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69961.99,69948.00,-13.99,1773195860488,1773195864079,906,1773195861297,1773195864885,908,1000,15,17,83,85,buy_no,85,2,,,,,,,,15,18,83,85,0,0,102,1773195864914
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,up,69963.45,70005.50,42.05,1773195866745,1773195870336,924,1773195866814,1773195870403,925,1000,24,26,74,76,buy_yes,26,2,yes_bid_up,1773195870403,0,25,74,26,75,39,40,74,80,14,13,87,1773195872454
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,70026.20,70012.26,-13.94,1773195875993,1773195879581,978,1773195876774,1773195880359,985,1000,45,46,54,55,buy_no,55,1,yes_bid_down,1773195880605,246,44,54,46,56,47,49,59,61,6,4,96,1773195885122
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,70003.89,69992.74,-11.15,1773195886240,1773195889826,1028,1773195887024,1773195890610,1034,1000,30,33,67,70,buy_no,70,3,no_bid_up,1773195890618,8,30,69,31,70,36,38,71,73,3,1,99,1773195890720
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,70004.47,69984.50,-19.97,1773195920989,1773195924577,1203,1773195921800,1773195925388,1209,1000,32,33,67,68,buy_no,68,1,yes_bid_down,1773195925472,84,29,67,33,71,32,33,74,77,9,6,94,1773195927725
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69981.56,69969.00,-12.56,1773195937238,1773195940825,1285,1773195938027,1773195941616,1291,1000,24,27,73,76,buy_no,76,3,yes_bid_down,1773195943672,2056,23,73,27,77,24,27,75,77,1,0,101,1773195944812
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69979.01,69966.00,-13.01,1773195956490,1773195960078,1357,1773195957276,1773195960864,1363,1000,16,19,81,84,buy_no,84,3,no_bid_up,1773195960982,118,16,82,18,84,16,19,86,87,3,2,98,1773195962927
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,up,69956.00,69967.62,11.62,1773195962490,1773195966079,1391,1773195963260,1773195966848,1398,1000,17,20,80,83,buy_yes,20,3,yes_bid_up,1773195966863,15,18,80,20,82,20,21,80,83,1,0,100,1773195969431
KXBTC15M-26MAR102230-30,70020.34,BTC-USD,down,69973.19,69961.00,-12.19,1773195971489,1773195975077,1443,1773195972283,1773195975874,1447,1000,17,19,81,83,buy_no,83,2,no_bid_up,1773195978224,2350,17,82,18,83,17,19,82,83,0,0,101,1773195978224
